,Sentiment,SentimentText
47,1,I loved The Da Vinci Code.
48,1,the da vinci code is awesome!
49,1,oh so beautiful Da Vinci Code...
50,1,i loved the da vinci code.
51,1,The Da Vinci Code is an awesome book.
52,1,Da vinci code is an awesome book.
53,1,I miss ripping acoustic music and the Da Vinci Code...
54,1,"Personally, I neither hate nor love the Da Vinci Code."
55,1,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
56,1,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286."
57,1,"I love "" The Da Vinci Code!"
58,1,i LOVED the Da Vinci Code.
59,1,"But seriously, the Da Vinci Code is an awesome book."
60,1,da vinci code is awesome.
61,1,I love The Da Vinci Code.
62,1,the da vinci code is awesome!
63,1,omg i love the da vinci code that is such an awesome book!
64,1,The Da Vinci Code is an awesome book...
65,1,The Da Vinci Code is still one of the most awesomest books i've ever read...
66,1,I did love The Da Vinci Code though.
67,1,The Da Vinci Code is awesome!..
68,1,I love the Da Vinci Code too.
69,1,"shit, i love the da vinci code."
70,1,"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?.."
71,1,"the da vinci code was an awesome book, i just finished it."
72,1,da vinci code is awesome..
73,1,I love The Da Vinci Code...
74,1,I LOVE THE DA VINCI CODE!!..
75,1,I LOVE THE DA VINCI CODE!!.
76,1,damn i love da vinci code.
77,1,The Da Vinci Code was fucking awesome!..
78,1,The Da Vinci Code was awesome.
79,1,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr."
80,1,I loved the Da Vinci Code and the like.
81,1,Da Vinci Code-that was awesome!..
82,1,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd..."
83,1,The Da Vinci Code is an awesome book.
84,1,Yeah the Da Vinci code is awesome....
85,1,""" The Da Vinci Code "" is awesome though."
86,1,i LOVE the da vinci code!
87,1,The Da Vinci Code is an awesome book!!!
88,1,"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside."
89,1,da vinci code is awesome!
90,1,I loved the da vinci code....
91,1,the Da Vinci Code is awesome..
92,1,I'd love to go see Da Vinci Code but probably not next week.
93,1,The Da Vinci Code was awesome.
94,1,"im sick of books right now, but i must say, da vinci code was awesome.."
95,1,"finished reading the da vinci code, which is an awesome book."
96,1,that and the da vinci code is awesome so far.
97,1,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...
98,1,And Da Vinci Code is awesome.
99,1,"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome."
100,1,Da Vinci Code is an awesome book..
101,1,Da Vinci Code is awesome!
102,1,"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books.."
103,1,The Da Vinci Code is awesome...
104,1,Oh oh oh and I loved The Da Vinci Code!
105,1,I love the Da Vinci code...
106,1,The Da Vinci Code is awesome.
107,1,and I love Da Vinci Code-illustrated edition is the only way to go!:)..
108,1,"I loved the Da Vinci code, and I can't wait for the movie."
109,1,i loved da vinci code recently......
110,1,Love the Da Vinci Code!(
111,1,to their right ALSO read and LOVED the Da Vinci code.
112,1,I * LOVED * Da Vinci code.
113,1,and i love reading da vinci code.....
114,1,and i love Da Vinci Code too..
115,1,and i love Da Vinci Code too..
116,1,Da Vinci Code looks SO awesome...
117,1,I finished The Da Vinci Code that was an awesome book!
118,1,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons..."
119,1,"I loved reading Da Vinci Code, can't wait for the movie to come out!.."
120,1,I love the Da Vinci Code.
121,1,The Da Vinci Code really is an awesome book and you should all go get it.
122,1,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit."
123,1,i totally love the Da Vinci Code and i CA N'T wait until the movie!
124,1,"Personally I loved The Da Vinci Code, its a great thriller."
125,1,I love the Da Vinci Code.....
126,1,' The Da Vinci Code'it was AWESOME.
127,1,and the da vinci code is an awesome book!
128,1,da vinci code is an awesome book..
129,1,The Da Vinci Code is AWESOME!.
130,1,I loved the da vinci code.
131,1,I loved the da Vinci Code-very interesting to think about things from a different angle.
132,1,Da Vinci Code is a friggin awesome book.
133,1,"And the Da Vinci code is AMAZING, 30 pages left to go."
134,1,+ love undercover 3 + The Da Vinci Code....
135,1,outta all three i just loved the da vinci code.
136,1,oh I love the book The Da VInci Code!
137,1,"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!)."
138,1,da vinci code is so awesome.
139,1,and Da Vinci Code was so awesome already).
140,1,The Da Vinci Code was AWESOME.
141,1,"So, the Da Vinci code was AWESOME..."
142,1,I loved the Da Vinci Code.
143,1,"Well the Da Vinci Code, was Awesome!"
144,1,i really loved the da vinci code.
145,1,The book da vinci code is awesome.
146,1,"i saw the da vinci code, which was awesome."
147,1,And I love the Da Vinci Code(
148,1,i know i loved the da vinci code too!!!
149,1,Da Vinci code was awesome!!!
150,1,"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome.."
151,1,The Da Vinci Code was an awesome movie.
152,1,"also, the da vinci code is AWESOME."
153,1,* gasp * I LOVE the Da Vinci Code!!
154,1,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots..."
155,1,The Da Vinci Code is like one of the AWESOMEST books!!!
156,1,"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code."
157,1,just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.
158,1,DA VINCI CODE WAS AWESOME!!!!!..
159,1,Da Vinci Code is an awesome movie.
160,1,The Da Vinci Code was AWESOME.
161,1,Da vinci Code is one beautiful movie..
162,1,I love Da Vinci Code.
163,1,"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it."
164,1,I actually loved Da Vinci Code.
165,1,"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too."
166,1,i loved the da vinci code...
167,1,"I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains."
168,1,the da vinci code was awesome lah!
169,1,Da Vinci Code was AWESOME..
170,1,I'd love to watch The Da Vinci Code soon.
171,1,"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny..."
172,1,"i read that book "" angels and demons "" and i got hooked so i finished in two days, just like da vinci code..."
173,1,oh and i loved the da vinci code.
174,1,"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!"
175,1,hahash i love da vinci code tooo!!
176,1,The Da Vinci Code was awesome.
177,1,"da vinci code was also awesome, but thats a given, tom hanks is in it after all."
178,1,I loved The Da Vinci Code!!
179,1,I loved The Da Vinci Code!
180,1,i loved the da vinci code was a kick ass movie...
181,1,"Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen."
182,1,"i loved the da Vinci code, even though it was the second book in the series."
183,1,The Da Vinci Code was awesome in my opinion -- the book and the movie.
184,1,"I loved the Da Vinci Code, both the book and the movie."
185,1,the da vinci code was sooo awesome-good luck at ur tennis tournament..
186,1,The Da Vinci Code was AWESOME!!
187,1,I love hating America almost as much as I love supporting the Da Vinci Code.
188,1,Da Vinci Code was awesome.
189,1,i luv the book'da vinci code '....
190,1,da vinci code was awesome..
191,1,Da Vinci Code was awesome.
192,1,i loved the da vinci code.
193,1,"Well, Da Vinci Code was awesome...."
194,1,The Da Vinci Code was awesome..
195,1,"The Da Vinci Code is an awesome book, I just finshed reading it."
196,1,"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness....."
197,1,PS da Vinci code is an awesome movie!.
198,1,i just love Da Vinci Code so much!
199,1,the people who are worth it know how much i love the da vinci code.
200,1,I wanted desperately to love'The Da Vinci Code as a film.
201,1,"The Da Vinci Code was awesome, I can't wait to read it..."
202,1,The Da Vinci Code was absolutely AWESOME!
203,1,da vinci code was an awesome movie...
204,1,DA VINCI CODE IS AWESOME!!
205,1,I love The Da Vinci Code...
206,1,The Da Vinci Code is awesome..
207,1,The Da Vinci Code is awesome!!
208,1,Love luv lubb the Da Vinci Code!
209,1,the people who are worth it know how much i love the da vinci code.
210,1,I wanted desperately to love'The Da Vinci Code as a film.
211,1,"The Da Vinci Code was awesome, I can't wait to read it..."
212,1,The Da Vinci Code was absolutely AWESOME!
213,1,da vinci code was an awesome movie...
214,1,DA VINCI CODE IS AWESOME!!
215,1,I love The Da Vinci Code...
216,1,The Da Vinci Code is awesome..
217,1,The Da Vinci Code is awesome!!
218,1,Love luv lubb the Da Vinci Code!
219,1,the people who are worth it know how much i love the da vinci code.
220,1,I wanted desperately to love'The Da Vinci Code as a film.
221,1,"The Da Vinci Code was awesome, I can't wait to read it..."
222,1,The Da Vinci Code was absolutely AWESOME!
223,1,da vinci code was an awesome movie...
224,1,DA VINCI CODE IS AWESOME!!
225,1,I love The Da Vinci Code...
226,1,The Da Vinci Code is awesome..
227,1,The Da Vinci Code is awesome!!
228,1,Love luv lubb the Da Vinci Code!
229,1,the people who are worth it know how much i love the da vinci code.
230,1,I wanted desperately to love'The Da Vinci Code as a film.
231,1,"The Da Vinci Code was awesome, I can't wait to read it..."
232,1,The Da Vinci Code was absolutely AWESOME!
233,1,da vinci code was an awesome movie...
234,1,DA VINCI CODE IS AWESOME!!
235,1,I love The Da Vinci Code...
236,1,The Da Vinci Code is awesome..
237,1,The Da Vinci Code is awesome!!
238,1,Love luv lubb the Da Vinci Code!
239,1,the people who are worth it know how much i love the da vinci code.
240,1,I wanted desperately to love'The Da Vinci Code as a film.
241,1,"The Da Vinci Code was awesome, I can't wait to read it..."
242,1,The Da Vinci Code was absolutely AWESOME!
243,1,da vinci code was an awesome movie...
244,1,DA VINCI CODE IS AWESOME!!
245,1,I love The Da Vinci Code...
246,1,The Da Vinci Code is awesome..
247,1,The Da Vinci Code is awesome!!
248,1,Love luv lubb the Da Vinci Code!
249,1,the people who are worth it know how much i love the da vinci code.
250,1,I wanted desperately to love'The Da Vinci Code as a film.
251,1,"The Da Vinci Code was awesome, I can't wait to read it..."
252,1,The Da Vinci Code was absolutely AWESOME!
253,1,da vinci code was an awesome movie...
254,1,DA VINCI CODE IS AWESOME!!
255,1,I love The Da Vinci Code...
256,1,The Da Vinci Code is awesome..
257,1,The Da Vinci Code is awesome!!
258,1,Love luv lubb the Da Vinci Code!
259,1,the people who are worth it know how much i love the da vinci code.
260,1,I wanted desperately to love'The Da Vinci Code as a film.
261,1,"The Da Vinci Code was awesome, I can't wait to read it..."
262,1,The Da Vinci Code was absolutely AWESOME!
263,1,da vinci code was an awesome movie...
264,1,DA VINCI CODE IS AWESOME!!
265,1,I love The Da Vinci Code...
266,1,The Da Vinci Code is awesome..
267,1,The Da Vinci Code is awesome!!
268,1,Love luv lubb the Da Vinci Code!
269,1,the people who are worth it know how much i love the da vinci code.
270,1,I wanted desperately to love'The Da Vinci Code as a film.
271,1,"The Da Vinci Code was awesome, I can't wait to read it..."
272,1,The Da Vinci Code was absolutely AWESOME!
273,1,da vinci code was an awesome movie...
274,1,DA VINCI CODE IS AWESOME!!
275,1,I love The Da Vinci Code...
276,1,The Da Vinci Code is awesome..
277,1,The Da Vinci Code is awesome!!
278,1,Love luv lubb the Da Vinci Code!
279,1,the people who are worth it know how much i love the da vinci code.
280,1,I wanted desperately to love'The Da Vinci Code as a film.
281,1,"The Da Vinci Code was awesome, I can't wait to read it..."
282,1,The Da Vinci Code was absolutely AWESOME!
283,1,da vinci code was an awesome movie...
284,1,DA VINCI CODE IS AWESOME!!
285,1,I love The Da Vinci Code...
286,1,The Da Vinci Code is awesome..
287,1,The Da Vinci Code is awesome!!
288,1,Love luv lubb the Da Vinci Code!
289,1,the people who are worth it know how much i love the da vinci code.
290,1,I wanted desperately to love'The Da Vinci Code as a film.
291,1,"The Da Vinci Code was awesome, I can't wait to read it..."
292,1,The Da Vinci Code was absolutely AWESOME!
293,1,da vinci code was an awesome movie...
294,1,DA VINCI CODE IS AWESOME!!
295,1,I love The Da Vinci Code...
296,1,The Da Vinci Code is awesome..
297,1,The Da Vinci Code is awesome!!
298,1,Love luv lubb the Da Vinci Code!
299,1,the people who are worth it know how much i love the da vinci code.
300,1,I wanted desperately to love'The Da Vinci Code as a film.
301,1,"The Da Vinci Code was awesome, I can't wait to read it..."
302,1,The Da Vinci Code was absolutely AWESOME!
303,1,da vinci code was an awesome movie...
304,1,DA VINCI CODE IS AWESOME!!
305,1,I love The Da Vinci Code...
306,1,The Da Vinci Code is awesome..
307,1,The Da Vinci Code is awesome!!
308,1,Love luv lubb the Da Vinci Code!
309,1,the people who are worth it know how much i love the da vinci code.
310,1,I wanted desperately to love'The Da Vinci Code as a film.
311,1,"The Da Vinci Code was awesome, I can't wait to read it..."
312,1,The Da Vinci Code was absolutely AWESOME!
313,1,da vinci code was an awesome movie...
314,1,DA VINCI CODE IS AWESOME!!
315,1,I love The Da Vinci Code...
316,1,The Da Vinci Code is awesome..
317,1,The Da Vinci Code is awesome!!
318,1,Love luv lubb the Da Vinci Code!
319,1,the people who are worth it know how much i love the da vinci code.
320,1,I wanted desperately to love'The Da Vinci Code as a film.
321,1,"The Da Vinci Code was awesome, I can't wait to read it..."
322,1,The Da Vinci Code was absolutely AWESOME!
323,1,da vinci code was an awesome movie...
324,1,DA VINCI CODE IS AWESOME!!
325,1,I love The Da Vinci Code...
326,1,The Da Vinci Code is awesome..
327,1,The Da Vinci Code is awesome!!
328,1,Love luv lubb the Da Vinci Code!
329,1,the people who are worth it know how much i love the da vinci code.
330,1,I wanted desperately to love'The Da Vinci Code as a film.
331,1,"The Da Vinci Code was awesome, I can't wait to read it..."
332,1,The Da Vinci Code was absolutely AWESOME!
333,1,da vinci code was an awesome movie...
334,1,DA VINCI CODE IS AWESOME!!
335,1,I love The Da Vinci Code...
336,1,The Da Vinci Code is awesome..
337,1,The Da Vinci Code is awesome!!
338,1,Love luv lubb the Da Vinci Code!
339,1,the people who are worth it know how much i love the da vinci code.
340,1,I wanted desperately to love'The Da Vinci Code as a film.
341,1,"The Da Vinci Code was awesome, I can't wait to read it..."
342,1,The Da Vinci Code was absolutely AWESOME!
343,1,da vinci code was an awesome movie...
344,1,DA VINCI CODE IS AWESOME!!
345,1,I love The Da Vinci Code...
346,1,The Da Vinci Code is awesome..
347,1,The Da Vinci Code is awesome!!
348,1,Love luv lubb the Da Vinci Code!
349,1,the people who are worth it know how much i love the da vinci code.
350,1,I wanted desperately to love'The Da Vinci Code as a film.
351,1,"The Da Vinci Code was awesome, I can't wait to read it..."
352,1,The Da Vinci Code was absolutely AWESOME!
353,1,da vinci code was an awesome movie...
354,1,DA VINCI CODE IS AWESOME!!
355,1,I love The Da Vinci Code...
356,1,The Da Vinci Code is awesome..
357,1,The Da Vinci Code is awesome!!
358,1,Love luv lubb the Da Vinci Code!
359,1,the people who are worth it know how much i love the da vinci code.
360,1,I wanted desperately to love'The Da Vinci Code as a film.
361,1,"The Da Vinci Code was awesome, I can't wait to read it..."
362,1,The Da Vinci Code was absolutely AWESOME!
363,1,da vinci code was an awesome movie...
364,1,DA VINCI CODE IS AWESOME!!
365,1,I love The Da Vinci Code...
366,1,The Da Vinci Code is awesome..
367,1,The Da Vinci Code is awesome!!
368,1,Love luv lubb the Da Vinci Code!
369,1,the people who are worth it know how much i love the da vinci code.
370,1,I wanted desperately to love'The Da Vinci Code as a film.
371,1,"The Da Vinci Code was awesome, I can't wait to read it..."
372,1,The Da Vinci Code was absolutely AWESOME!
373,1,da vinci code was an awesome movie...
374,1,DA VINCI CODE IS AWESOME!!
375,1,I love The Da Vinci Code...
376,1,The Da Vinci Code is awesome..
377,1,The Da Vinci Code is awesome!!
378,1,Love luv lubb the Da Vinci Code!
379,1,the people who are worth it know how much i love the da vinci code.
380,1,I wanted desperately to love'The Da Vinci Code as a film.
381,1,"The Da Vinci Code was awesome, I can't wait to read it..."
382,1,The Da Vinci Code was absolutely AWESOME!
383,1,da vinci code was an awesome movie...
384,1,DA VINCI CODE IS AWESOME!!
385,1,I love The Da Vinci Code...
386,1,The Da Vinci Code is awesome..
387,1,The Da Vinci Code is awesome!!
388,1,Love luv lubb the Da Vinci Code!
389,1,the people who are worth it know how much i love the da vinci code.
390,1,I wanted desperately to love'The Da Vinci Code as a film.
391,1,"The Da Vinci Code was awesome, I can't wait to read it..."
392,1,The Da Vinci Code was absolutely AWESOME!
393,1,da vinci code was an awesome movie...
394,1,DA VINCI CODE IS AWESOME!!
395,1,I love The Da Vinci Code...
396,1,The Da Vinci Code is awesome..
397,1,The Da Vinci Code is awesome!!
398,1,Love luv lubb the Da Vinci Code!
399,1,the people who are worth it know how much i love the da vinci code.
400,1,I wanted desperately to love'The Da Vinci Code as a film.
401,1,"The Da Vinci Code was awesome, I can't wait to read it..."
402,1,The Da Vinci Code was absolutely AWESOME!
403,1,da vinci code was an awesome movie...
404,1,DA VINCI CODE IS AWESOME!!
405,1,I love The Da Vinci Code...
406,1,The Da Vinci Code is awesome..
407,1,The Da Vinci Code is awesome!!
408,1,Love luv lubb the Da Vinci Code!
409,1,the people who are worth it know how much i love the da vinci code.
410,1,I wanted desperately to love'The Da Vinci Code as a film.
411,1,"The Da Vinci Code was awesome, I can't wait to read it..."
412,1,The Da Vinci Code was absolutely AWESOME!
413,1,da vinci code was an awesome movie...
414,1,DA VINCI CODE IS AWESOME!!
415,1,I love The Da Vinci Code...
416,1,The Da Vinci Code is awesome..
417,1,The Da Vinci Code is awesome!!
418,1,Love luv lubb the Da Vinci Code!
419,1,the people who are worth it know how much i love the da vinci code.
420,1,I wanted desperately to love'The Da Vinci Code as a film.
421,1,"The Da Vinci Code was awesome, I can't wait to read it..."
422,1,The Da Vinci Code was absolutely AWESOME!
423,1,da vinci code was an awesome movie...
424,1,DA VINCI CODE IS AWESOME!!
425,1,I love The Da Vinci Code...
426,1,The Da Vinci Code is awesome..
427,1,The Da Vinci Code is awesome!!
428,1,Love luv lubb the Da Vinci Code!
429,1,the people who are worth it know how much i love the da vinci code.
430,1,I wanted desperately to love'The Da Vinci Code as a film.
431,1,"The Da Vinci Code was awesome, I can't wait to read it..."
432,1,The Da Vinci Code was absolutely AWESOME!
433,1,da vinci code was an awesome movie...
434,1,DA VINCI CODE IS AWESOME!!
435,1,I love The Da Vinci Code...
436,1,The Da Vinci Code is awesome..
437,1,The Da Vinci Code is awesome!!
438,1,Love luv lubb the Da Vinci Code!
439,1,the people who are worth it know how much i love the da vinci code.
440,1,I wanted desperately to love'The Da Vinci Code as a film.
441,1,"The Da Vinci Code was awesome, I can't wait to read it..."
442,1,The Da Vinci Code was absolutely AWESOME!
443,1,da vinci code was an awesome movie...
444,1,DA VINCI CODE IS AWESOME!!
445,1,I love The Da Vinci Code...
446,1,The Da Vinci Code is awesome..
447,1,The Da Vinci Code is awesome!!
448,1,Love luv lubb the Da Vinci Code!
449,1,the people who are worth it know how much i love the da vinci code.
450,1,I wanted desperately to love'The Da Vinci Code as a film.
451,1,"The Da Vinci Code was awesome, I can't wait to read it..."
452,1,The Da Vinci Code was absolutely AWESOME!
453,1,da vinci code was an awesome movie...
454,1,DA VINCI CODE IS AWESOME!!
455,1,I love The Da Vinci Code...
456,1,The Da Vinci Code is awesome..
457,1,The Da Vinci Code is awesome!!
458,1,Love luv lubb the Da Vinci Code!
459,1,the people who are worth it know how much i love the da vinci code.
460,1,I wanted desperately to love'The Da Vinci Code as a film.
461,1,"The Da Vinci Code was awesome, I can't wait to read it..."
462,1,The Da Vinci Code was absolutely AWESOME!
463,1,da vinci code was an awesome movie...
464,1,DA VINCI CODE IS AWESOME!!
465,1,I love The Da Vinci Code...
466,1,The Da Vinci Code is awesome..
467,1,The Da Vinci Code is awesome!!
468,1,Love luv lubb the Da Vinci Code!
469,1,the people who are worth it know how much i love the da vinci code.
470,1,I wanted desperately to love'The Da Vinci Code as a film.
471,1,"The Da Vinci Code was awesome, I can't wait to read it..."
472,1,The Da Vinci Code was absolutely AWESOME!
473,1,da vinci code was an awesome movie...
474,1,DA VINCI CODE IS AWESOME!!
475,1,I love The Da Vinci Code...
476,1,The Da Vinci Code is awesome..
477,1,The Da Vinci Code is awesome!!
478,1,Love luv lubb the Da Vinci Code!
479,1,the people who are worth it know how much i love the da vinci code.
480,1,I wanted desperately to love'The Da Vinci Code as a film.
481,1,"The Da Vinci Code was awesome, I can't wait to read it..."
482,1,The Da Vinci Code was absolutely AWESOME!
483,1,da vinci code was an awesome movie...
484,1,DA VINCI CODE IS AWESOME!!
485,1,I love The Da Vinci Code...
486,1,The Da Vinci Code is awesome..
487,1,The Da Vinci Code is awesome!!
488,1,Love luv lubb the Da Vinci Code!
489,1,the people who are worth it know how much i love the da vinci code.
490,1,I wanted desperately to love'The Da Vinci Code as a film.
491,1,"The Da Vinci Code was awesome, I can't wait to read it..."
492,1,The Da Vinci Code was absolutely AWESOME!
493,1,da vinci code was an awesome movie...
494,1,DA VINCI CODE IS AWESOME!!
495,1,I love The Da Vinci Code...
496,1,The Da Vinci Code is awesome..
497,1,The Da Vinci Code is awesome!!
498,1,Love luv lubb the Da Vinci Code!
499,1,the people who are worth it know how much i love the da vinci code.
500,1,I wanted desperately to love'The Da Vinci Code as a film.
501,1,"The Da Vinci Code was awesome, I can't wait to read it..."
502,1,The Da Vinci Code was absolutely AWESOME!
503,1,da vinci code was an awesome movie...
504,1,DA VINCI CODE IS AWESOME!!
505,1,I love The Da Vinci Code...
506,1,The Da Vinci Code is awesome..
507,1,The Da Vinci Code is awesome!!
508,1,Love luv lubb the Da Vinci Code!
509,1,the people who are worth it know how much i love the da vinci code.
510,1,I wanted desperately to love'The Da Vinci Code as a film.
511,1,"The Da Vinci Code was awesome, I can't wait to read it..."
512,1,The Da Vinci Code was absolutely AWESOME!
513,1,da vinci code was an awesome movie...
514,1,DA VINCI CODE IS AWESOME!!
515,1,I love The Da Vinci Code...
516,1,The Da Vinci Code is awesome..
517,1,The Da Vinci Code is awesome!!
518,1,Love luv lubb the Da Vinci Code!
519,1,the people who are worth it know how much i love the da vinci code.
520,1,I wanted desperately to love'The Da Vinci Code as a film.
521,1,"The Da Vinci Code was awesome, I can't wait to read it..."
522,1,The Da Vinci Code was absolutely AWESOME!
523,1,da vinci code was an awesome movie...
524,1,DA VINCI CODE IS AWESOME!!
525,1,I love The Da Vinci Code...
526,1,The Da Vinci Code is awesome..
527,1,The Da Vinci Code is awesome!!
528,1,Love luv lubb the Da Vinci Code!
529,1,the people who are worth it know how much i love the da vinci code.
530,1,I wanted desperately to love'The Da Vinci Code as a film.
531,1,"The Da Vinci Code was awesome, I can't wait to read it..."
532,1,The Da Vinci Code was absolutely AWESOME!
533,1,da vinci code was an awesome movie...
534,1,DA VINCI CODE IS AWESOME!!
535,1,I love The Da Vinci Code...
536,1,The Da Vinci Code is awesome..
537,1,The Da Vinci Code is awesome!!
538,1,Love luv lubb the Da Vinci Code!
539,1,the people who are worth it know how much i love the da vinci code.
540,1,I wanted desperately to love'The Da Vinci Code as a film.
541,1,"The Da Vinci Code was awesome, I can't wait to read it..."
542,1,The Da Vinci Code was absolutely AWESOME!
543,1,da vinci code was an awesome movie...
544,1,DA VINCI CODE IS AWESOME!!
545,1,I love The Da Vinci Code...
546,1,The Da Vinci Code is awesome..
547,1,The Da Vinci Code is awesome!!
548,1,Love luv lubb the Da Vinci Code!
549,1,the people who are worth it know how much i love the da vinci code.
550,1,I wanted desperately to love'The Da Vinci Code as a film.
551,1,"The Da Vinci Code was awesome, I can't wait to read it..."
552,1,The Da Vinci Code was absolutely AWESOME!
553,1,da vinci code was an awesome movie...
554,1,DA VINCI CODE IS AWESOME!!
555,1,I love The Da Vinci Code...
556,1,The Da Vinci Code is awesome..
557,1,The Da Vinci Code is awesome!!
558,1,Love luv lubb the Da Vinci Code!
559,1,the people who are worth it know how much i love the da vinci code.
560,1,I wanted desperately to love'The Da Vinci Code as a film.
561,1,"The Da Vinci Code was awesome, I can't wait to read it..."
562,1,The Da Vinci Code was absolutely AWESOME!
563,1,da vinci code was an awesome movie...
564,1,DA VINCI CODE IS AWESOME!!
565,1,I love The Da Vinci Code...
566,1,The Da Vinci Code is awesome..
567,1,The Da Vinci Code is awesome!!
568,1,Love luv lubb the Da Vinci Code!
569,1,the people who are worth it know how much i love the da vinci code.
570,1,I wanted desperately to love'The Da Vinci Code as a film.
571,1,"The Da Vinci Code was awesome, I can't wait to read it..."
572,1,The Da Vinci Code was absolutely AWESOME!
573,1,da vinci code was an awesome movie...
574,1,DA VINCI CODE IS AWESOME!!
575,1,I love The Da Vinci Code...
576,1,The Da Vinci Code is awesome..
577,1,The Da Vinci Code is awesome!!
578,1,Love luv lubb the Da Vinci Code!
579,1,the people who are worth it know how much i love the da vinci code.
580,1,I wanted desperately to love'The Da Vinci Code as a film.
581,1,"The Da Vinci Code was awesome, I can't wait to read it..."
